Nome do Arquivo,Link,Caminho
PROUNI_documentacao.pdf,https://drive.google.com/file/d/19mrLJw4sJgiYtvaoU8bVlnjnf2y69Cuy/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / PROUNI
DOCUMENTAÇÃO FIES.pdf,https://drive.google.com/file/d/1wMyLemZUeHDcjole4YrrUBq1T643EMQD/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / FIES
ENEM PPL 2024.pdf,https://drive.google.com/file/d/1CN2kKbqma-HYOXFXCHbp2eCkCrtQhVpP/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / PROVAS
ENEM 2023 COM RESOLUÇÃO.pdf,https://drive.google.com/file/d/1suGGr7v7TvVbseNvZXv5yYi5--KG3W0I/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / PROVAS
ENEM 2018 COM RESOLUÇÃO.pdf,https://drive.google.com/file/d/1PKJd1il7VhhUOHpi3uPdq8h5Iz_u4Rxi/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / PROVAS
ENEM 2019 COM RESOLUÇÃO.pdf,https://drive.google.com/file/d/1B_4ocT9Wmqm8PRdOjvSL9Axdjmq5VUHc/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / PROVAS
ENEM 2021 COM RESOLUÇÃO.pdf,https://drive.google.com/file/d/1ZWr7vo3h76SWdC4eeZcPycAVe4n-NMHi/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / PROVAS
ENEM 2020 COM RESOLUÇÃO.pdf,https://drive.google.com/file/d/1nk4sAri0_pfc2F8E5ufdvpf4jN7q96ct/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / PROVAS
ENEM 2022 COM RESOLUÇÃO.pdf,https://drive.google.com/file/d/1jeTIlJfvqaMozZ_7e9GJuixSnfhET3Sb/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / PROVAS
PROVAS ENEM PPL.pdf,https://drive.google.com/file/d/1BEwV6sL2iCMYfCU6mGK26mLuc2_lgsNz/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / PROVAS
TESTES AULA 14 - ENEM - JEAN,https://drive.google.com/file/d/13tFC1IBFUVSGtS6pZTaivj1gbIWed6r4/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULA 13 - ENEM - JEAN,https://drive.google.com/file/d/1gbimYzmshtSwfBOlAq6i0fRnuky5iDT-/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULA 12 - ENEM - JEAN,https://drive.google.com/file/d/1OjM6D6bqiL8FFFIIXUjETDo81Iy2CCcv/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULAS 10 E 11 - ENEM - JEAN,https://drive.google.com/file/d/1SUJ-dAT50XjdMQM0uyDsksIm5ZPebk-j/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULA 9 - ENEM - JEAN,https://drive.google.com/file/d/17PGTJGA8qzII3ChC8dJ0gzjy7WpUmT0C/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULA 8 - ENEM - JEAN,https://drive.google.com/file/d/17RJ1d1hvD_fUWf-5z32K4xalxJaa4zvG/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULA 7 - ENEM - JEAN,https://drive.google.com/file/d/1QFTnXDsUIUMKYRwEcD73X691rnoc7nOz/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULA 6 - ENEM - JEAN,https://drive.google.com/file/d/1v-kpKftfUWwCpJaZxW47qK1nfA7-OVhV/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULA 5 - ENEM - JEAN,https://drive.google.com/file/d/15KlzjzTPAA7xKa7S1e60uhEBPwg8Kqdf/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULA 4 - ENEM - JEAN,https://drive.google.com/file/d/1wKsBv3IZydI5wrTuzR_nC2rv24Q0DzZD/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULA 3 - ENEM - JEAN,https://drive.google.com/file/d/1VMP6RQfsLQ2RkXtBe69wbH3OecNy6SuS/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULA 2 - ENEM - JEAN,https://drive.google.com/file/d/1g2p9XlOv__lz5-3DelHO8o9UWOb_nlvz/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
TESTES AULA 1 - ENEM - JEAN,https://drive.google.com/file/d/1oXk4N1kB-MUr6Y8-GeuHelkVRhlZWoqT/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO ENEM / CURSO MATEMÁTICA ENEM PROFESSOR JEAN
UNIOESTE 2024.pdf,https://drive.google.com/file/d/1y0YeB7b6eHItofnv__yKK3cMhHiVvvQN/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO UNIOESTE / VESTIBULAR / PROVAS
UNIOESTE 2020.pdf,https://drive.google.com/file/d/1ba2XTWFtDP6RW7B-aucJqt_L3P8Nv9-Z/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO UNIOESTE / VESTIBULAR / PROVAS
UNIOESTE 2021.pdf,https://drive.google.com/file/d/1LPVpzjhTJPlFdeaACpV3wl9iSHzCN77m/view?usp=drivesdk,ARQUIVOS MENTORIA / IMERSÃO UNIOESTE / VESTIBULAR / PROVAS
